동명,일반수급자가구수,일반수급자수급권자수,조건부수급자가구수,조건부수급자수급권자수,특례수급자가구수,특례수급자수급권자수,기타가구수,기타수급권자수,시설수급자가구수,시설수급자수급권자수
금정구(시설),4,5,0,0,0,0,0,0,263,263
서제1동,581,693,73,111,13,16,0,0,1,1
서제2동,789,990,144,204,15,21,0,0,0,0
서제3동,899,1148,124,173,19,20,0,0,0,0
금사동,647,792,54,89,8,9,0,0,0,0
부곡제1동,987,1205,89,145,33,52,0,0,0,0
부곡제2동,508,654,63,106,13,20,0,0,0,0
부곡제3동,352,465,47,70,7,7,0,0,1,1
부곡제4동,612,761,69,101,14,18,0,0,0,0
장전제1동,440,552,56,86,6,6,0,0,0,0
장전제2동,687,837,42,69,9,11,0,0,105,105
선두구동,145,162,14,19,2,2,0,0,0,0
청룡노포동,403,530,31,54,7,10,0,0,26,26
남산동,1648,2199,207,332,36,42,0,0,8,8
구서제1동,380,529,46,76,11,15,0,0,0,0
구서제2동,716,981,97,198,13,18,0,0,3,3
금성동,28,33,4,6,0,0,0,0,0,0
